"moment","source","target","status"
0,5,8,1
0,16,0,3
0,5,6,1
0,12,7,2
0,13,5,1
0,2,0,3
1,7,12,2
1,1,16,2
1,11,7,3
1,4,14,2
1,12,6,1
1,1,0,1
2,12,15,3
2,14,13,2
2,15,9,2
2,0,8,2
2,16,4,1
2,16,4,3
3,15,10,3
3,14,11,1
3,9,7,3
3,15,14,3
3,9,11,1
3,6,15,2
4,10,5,1
4,4,13,2
4,4,14,3
4,10,16,2
4,7,2,2
4,5,3,1
5,12,5,2
5,15,13,1
5,5,4,3
5,16,17,2
5,12,13,2
5,7,5,2
6,12,14,1
6,17,2,1
6,16,3,1
6,14,6,2
6,12,1,3
6,8,10,1
7,2,6,3
7,2,6,1
7,8,6,2
7,6,0,1
7,3,4,2
7,13,16,3
8,12,14,1
8,3,13,3
8,15,10,2
8,13,15,2
8,3,10,2
8,11,6,1
9,7,16,2
9,7,15,2
9,15,13,2
9,8,5,2
9,10,17,1
9,14,3,3
